Year,Rice(kg/hectare),Jowar,Ragi,Small Millets,Tur,Gram,Groundnuts,Sessasum,Tea,Banana,Sugarcane,Tobacco,Pepper,Chillies,Ginger,Coconut,Tumeric,Bajra,Maize,Cotton,Potato
1959,3100,1295,3053,1085,967,653,2721,596,21,479,97689,540,30,5,37,102,52,134,339,639,244
1960,3100,1295,3100,1295,3053,1085,967,653,20,596,97690,541,30,5,37,102,52,135,340,640,245
1961,2712,851,2712,851,1967,1010,785,645,20,518,97691,542,30,5,37,102,52,136,341,641,246
1962,3100,1295,3100,1295,3053,1085,967,653,20,596,97692,543,30,5,37,102,52,137,342,642,247
1963,3918,1277,3918,1277,2715,1210,870,643,20,612,97693,544,30,5,37,102,52,138,343,643,248
1964,3069,929,1976,940,765,614,2155,466,20,438,101452,545,30,5,37,102,52,139,344,644,249
1965,3039,1014,2260,1043,662,671,2323,527,20,660,108392,546,30,5,37,102,52,140,345,645,250
1966,3918,1277,2715,1210,870,643,2751,612,20,518,111378,547,30,5,37,102,52,141,346,646,251
1967,2712,851,1967,1010,785,645,2315,518,22,507,97688,548,30,5,37,102,52,142,347,647,252
1968,3100,1295,3053,1085,967,653,2721,596,21,479,103575,549,30,5,37,102,52,143,348,648,253
1969,3918,1277,2715,1210,870,643,2751,612,20,518,111378,550,30,5,37,102,52,144,349,649,254
1970,2712,851,1967,1010,785,645,2315,518,20,507,97688,551,30,5,37,102,52,145,350,650,255
1971,3100,1295,3053,1085,967,653,2721,596,20,479,103575,552,30,5,37,102,52,146,351,651,256
1972,3100,1295,3100,1295,3053,1085,967,653,20,596,103576,553,30,5,37,102,52,147,352,652,257
1973,3918,1277,3918,1277,2715,1210,870,643,20,612,103577,554,30,5,37,102,52,148,353,653,258
1974,2712,851,2712,851,1967,1010,785,645,20,518,103578,555,30,5,37,102,52,149,354,654,259
1975,2712,851,2712,851,1967,1010,785,645,20,518,103579,556,30,5,37,102,52,150,355,655,260
1976,3100,1295,3100,1295,3053,1085,967,653,20,596,103580,557,30,5,37,102,52,151,356,656,261
1977,3918,1277,3918,1277,2715,1210,870,643,20,612,103581,558,30,5,37,102,52,152,357,657,262
1978,3069,929,1976,940,765,614,2155,466,20,438,103582,559,30,5,37,102,52,153,358,658,263
1979,3039,1014,2260,1043,662,671,2323,527,20,660,103583,560,30,5,37,102,52,154,359,659,264
1980,2712,851,2712,851,1967,1010,785,645,20,518,103584,561,30,5,37,102,52,155,360,660,265
1981,3100,1295,3100,1295,3053,1085,967,653,20,596,103585,562,30,5,37,102,52,156,361,661,266
1982,3918,1277,3918,1277,2715,1210,870,643,20,612,103586,563,30,5,37,102,52,157,362,662,267
1983,3069,929,1976,940,765,614,2155,466,22,438,103587,564,30,5,37,102,52,158,363,663,268
1984,3039,1014,2260,1043,662,671,2323,527,21,660,103588,565,30,5,37,102,52,159,364,664,269
1985,3918,1277,2715,1210,870,643,2751,612,21,518,103589,566,30,5,37,102,52,160,365,665,270
1986,2712,851,1967,1010,785,645,2315,518,21,507,103590,567,30,5,37,102,52,161,366,666,271
1987,3100,1295,3053,1085,967,653,2721,596,21,479,103591,568,30,5,37,102,52,162,367,667,272
1988,3100,1295,3100,1295,3053,1085,967,653,21,596,103592,569,30,5,37,102,52,163,368,668,273
1989,2712,851,2712,851,1967,1010,785,645,21,518,103593,570,30,5,37,102,52,164,369,669,274
1990,3100,1295,3100,1295,3053,1085,967,653,21,596,103594,571,30,5,37,102,52,165,370,670,275
1991,3918,1277,3918,1277,2715,1210,870,643,21,612,103595,572,30,5,37,102,52,166,371,671,276
1992,3069,929,1976,940,765,614,2155,466,21,438,103596,573,30,5,37,102,52,167,372,672,277
1993,3039,1014,2260,1043,662,671,2323,527,21,660,103597,574,30,5,37,102,52,168,373,673,278
1994,2712,851,2712,851,1967,1010,785,645,21,518,103598,575,30,5,37,102,52,169,374,674,279
1995,3100,1295,3100,1295,3053,1085,967,653,21,596,103599,576,30,5,37,102,52,170,375,675,280
1996,3918,1277,3918,1277,2715,1210,870,643,21,612,103600,577,30,5,37,102,52,171,376,676,281
1997,3069,929,1976,940,765,614,2155,466,21,438,103601,578,30,5,37,102,52,172,377,677,282
1998,3039,1014,2260,1043,662,671,2323,527,21,660,103602,579,30,5,37,102,52,173,378,678,283
1999,3918,1277,2715,1210,870,643,2751,612,21,518,111378,580,30,5,37,102,52,174,379,679,284
2000,2712,851,1967,1010,785,645,2315,518,21,507,97688,581,30,5,37,102,52,175,380,680,285
2001,3100,1295,3053,1085,967,653,2721,596,21,479,103575,582,30,5,37,102,52,176,381,681,286
2002,3918,1277,2715,1210,870,643,2751,612,21,518,111378,583,30,5,37,102,52,177,382,682,287
2003,2712,851,1967,1010,785,645,2315,518,21,507,97688,584,30,5,37,102,52,178,383,683,288
2004,3100,1295,3053,1085,967,653,2721,596,21,479,103575,585,30,5,37,102,52,179,384,684,289
2005,3100,1295,3100,1295,3053,1085,967,653,21,596,103575,586,30,5,37,102,52,180,385,685,290
2006,2712,851,2712,851,1967,1010,785,645,21,518,111378,587,30,5,37,102,52,181,386,686,291
2007,3100,1295,3100,1295,3053,1085,967,653,21,596,97688,588,30,5,37,102,52,182,387,687,292
2008,3918,1277,3918,1277,2715,1210,870,643,21,612,103575,589,30,5,37,102,52,183,388,688,293
2009,3069,929,1976,940,765,614,2155,466,21,438,101452,590,30,5,37,102,52,184,389,689,294
2010,3039,1014,2260,1043,662,671,2323,527,21,660,108392,591,30,5,37,102,52,185,390,690,295
2011,3918,1277,2715,1210,870,643,2751,612,21,518,111378,592,30,5,37,102,52,186,391,691,296
2012,2712,851,1967,1010,785,645,2315,518,21,507,97688,593,30,5,37,102,52,187,392,692,297
2013,3100,1295,3053,1085,967,653,2721,596,21,479,103575,594,30,5,37,102,52,188,393,693,298
2014,3918,1277,2715,1210,870,643,2751,612,21,518,111378,595,30,5,37,102,52,189,394,694,299
2015,2712,851,1967,1010,785,645,2315,518,21,507,97688,596,30,5,37,102,52,190,395,695,300
2016,3100,1295,3053,1085,967,653,2721,596,21,479,103575,597,30,5,37,102,52,191,396,696,301
2017,3100,1295,3100,1295,3053,1085,967,653,21,596,97688,598,30,5,37,102,52,192,397,697,302
2018,3918,1277,3918,1277,2715,1210,870,643,21,612,103575,599,30,5,37,102,52,193,398,698,303
2019,3069,929,1976,940,765,614,2155,466,21,438,111378,600,30,5,37,102,52,194,399,699,304
2020,3078,917,1900,970,777,618,2109,467,21,440,97688,601,30,5,37,102,52,195,400,700,305
