Year,Rice(kg/hectare),Small Millets,Tur ,Sessasum,Banana,Sugarcane,Chillies,Ginger,Tumeric,Maize,Potato,Wheat,Other Pulses,Groundnuts
1970,1737,819,794,597,26,18628,14,75,40,1339,80,1462,1069,691
1971,1738,820,795,598,26,18629,17,76,44,1340,80,1463,1070,692
1972,1739,821,796,599,26,18630,19,77,45,1341,80,1464,1071,693
1973,1740,822,797,600,26,18631,21,78,46,1342,80,1465,1072,694
1974,1741,823,798,601,26,18632,19,77,45,1343,80,1466,1073,695
1975,1742,824,799,602,26,18633,21,78,46,1344,80,1467,1074,696
1976,1743,825,800,603,26,18634,17,79,47,1345,80,1468,1075,697
1977,1744,826,801,604,26,18635,14,75,40,1346,80,1469,1076,698
1978,1745,827,802,605,26,18636,17,76,44,1347,80,1470,1077,699
1979,1746,828,803,606,26,18637,19,77,45,1348,80,1471,1078,700
1980,1747,829,804,607,26,18638,21,78,46,1349,80,1472,1079,701
1981,1748,830,805,608,26,18639,17,79,47,1350,80,1473,1080,702
1982,1749,831,806,609,26,18640,14,75,40,1351,80,1474,1081,703
1983,1750,832,807,610,26,18641,17,76,44,1352,80,1475,1082,704
1984,1751,833,808,611,26,18642,19,77,45,1353,80,1476,1083,705
1985,1752,834,809,612,26,18643,21,78,46,1354,80,1477,1084,706
1986,1753,835,810,613,26,18644,19,77,45,1355,80,1478,1085,707
1987,1754,836,811,614,26,18645,21,78,46,1356,80,1479,1086,708
1988,1755,837,812,615,26,18646,17,79,47,1357,80,1480,1087,709
1989,1756,838,813,616,26,18647,14,75,40,1358,80,1481,1088,710
1990,1757,839,814,617,26,18648,17,76,44,1359,80,1482,1089,711
1991,1758,840,815,618,26,18649,19,77,45,1360,80,1483,1090,712
1992,1759,841,816,619,26,18650,21,78,46,1361,80,1484,1091,713
1993,1760,842,817,620,26,18651,19,77,45,1362,80,1485,1092,714
1994,1761,843,818,621,26,18652,19,77,45,1363,80,1486,1093,715
1995,1762,844,819,622,26,18653,21,78,46,1364,80,1487,1094,716
1996,1763,845,820,623,26,18654,17,79,47,1365,80,1488,1095,717
1997,1764,846,821,624,26,18655,14,75,40,1366,80,1489,1096,718
1998,1765,847,822,625,26,18656,17,76,44,1367,80,1490,1097,719
1999,1766,848,823,626,26,18657,19,77,45,1368,80,1491,1098,720
2000,1767,849,824,627,26,18658,21,78,46,1369,80,1492,1099,721
2001,1768,850,825,628,26,18659,19,77,45,1370,80,1493,1100,722
2002,1769,851,826,629,26,18660,21,78,46,1371,80,1494,1101,723
2003,1770,852,827,630,26,18661,17,79,47,1372,80,1495,1102,724
2004,1771,853,828,631,26,18662,14,75,40,1373,80,1496,1103,725
2005,1772,854,829,632,26,18663,17,76,44,1374,80,1497,1104,726
2006,1773,855,830,633,26,18664,19,77,45,1375,80,1498,1105,727
2007,1774,856,831,634,26,18665,21,78,46,1376,80,1499,1106,728
2008,1775,857,832,635,26,18666,17,76,44,1377,80,1500,1107,729
2009,1776,858,833,636,26,18667,19,77,45,1378,80,1501,1108,730
2010,1876,900,833,700,30,19789,21,78,46,1456,80,1524,1111,800
2011,1987,901,978,802,30,19023,17,79,47,1301,80,1550,1145,801
2012,2056,1000,990,815,30,19045,14,75,40,1302,80,1558,1103,810
2013,2123,1045,1000,915,30,19031,17,76,44,1303,80,1456,1102,900
2014,2124,1046,1001,916,30,19032,19,77,45,1304,80,1457,1103,901
2015,2125,1047,1002,917,30,19033,21,78,46,1305,80,1458,1104,902
2016,2126,1048,1003,918,30,19034,19,77,45,1306,80,1459,1105,903
2017,2127,1049,1004,919,30,19035,21,78,46,1307,80,1460,1106,904
2018,2128,1050,1005,920,30,19036,17,79,47,1308,80,1461,1107,905
2019,2129,1051,1006,921,30,19037,14,75,40,1309,80,1462,1108,906
2020,2130,1052,1007,922,30,19038,17,76,44,1310,80,1463,1109,907
