Year,Rice(kg/hectare),Jowar,Small Millets,Tur,Gram,Groundnuts,Sessasum,Banana,Sugarcane,Tobacco,Chillies,Ginger,Tumeric,Bajra,Maize,Potato,Wheat,Other Pulses,Barley
1939,2467,1023,1245,910,1117,810,180,420,120157,2901,8,31,27,2167,2156,256,2389,923,2485
1940,2180,1254,900,993,1000,780,170,450,134568,2980,9,20,30,2256,1622,200,2280,900,2834
1941,2083,884,667,662,823,670,102,419,110046,2295,10,24,30,1632,1465,248,2483,834,2145
1942,2156,1089,678,856,856,830,146,400,1500459,2245,8,27,28,1834,1789,253,3123,756,2267
1943,2245,785,850,900,945,1000,212,401,78053,2867,9,28,30,1732,1987,280,2867,890,2056
1944,2245,785,850,900,945,1000,212,401,89045,2867,9,28,30,1732,1987,280,2867,890,2056
1945,2467,1023,1245,910,1117,810,180,420,89064,2901,8,31,27,2167,2156,256,2389,923,2485
1946,2180,1254,900,993,1000,780,170,450,70678,2980,9,20,30,2256,1622,200,2280,900,2834
1947,2083,884,667,662,823,670,102,419,78057,2295,10,24,30,1632,1465,248,2483,834,2145
1948,2156,1089,678,856,856,830,146,400,67009,2245,8,27,28,1834,1789,253,3123,756,2267
1949,2245,785,850,900,945,1000,212,401,78000,2867,9,28,30,1732,1987,280,2867,890,2056
1950,2467,1023,1245,910,1117,810,180,420,89000,2901,8,31,27,2167,2156,256,2389,923,2485
1951,2180,1254,900,993,1000,780,170,450,95000,2980,9,20,30,2256,1622,200,2280,900,2834
1952,2083,884,667,662,823,670,102,419,95517,2295,10,24,30,1632,1465,248,2483,834,2145
1953,2156,1089,678,856,856,830,146,400,101165,2245,8,27,28,1834,1789,253,3123,756,2267
1954,2245,785,850,900,945,1000,212,401,95241,2867,9,28,30,1732,1987,280,2867,890,2056
1955,2245,785,850,900,945,1000,212,401,100253,2867,9,28,30,1732,1987,280,2867,890,2056
1956,2467,1023,1245,910,1117,810,180,420,98765,2901,8,31,27,2167,2156,256,2389,923,2485
1957,2180,1254,900,993,1000,780,170,450,99856,2980,9,20,30,2256,1622,200,2280,900,2834
1958,2083,884,667,662,823,670,102,419,88935,2295,10,24,30,1632,1465,248,2483,834,2145
1959,2156,1089,678,856,856,830,146,400,98785,2245,8,27,28,1834,1789,253,3123,756,2267
1960,2245,785,850,900,945,1000,212,401,89457,2867,9,28,30,1732,1987,280,2867,890,2056
1961,2467,1023,1245,910,1117,810,180,420,67091,2901,8,31,27,2167,2156,256,2389,923,2485
1962,2180,1254,900,993,1000,780,170,450,78055,2980,9,20,30,2256,1622,200,2280,900,2834
1963,2083,884,667,662,823,670,102,419,67892,2295,10,24,30,1632,1465,248,2483,834,2145
1964,2467,1023,1245,910,1117,810,180,420,97005,2901,8,31,27,2167,2156,256,2389,923,2485
1965,2180,1254,900,993,1000,780,170,450,89000,2980,9,20,30,2256,1622,200,2280,900,2834
1966,2083,884,667,662,823,670,102,419,95000,2295,10,24,30,1632,1465,248,2483,834,2145
1967,2156,1089,678,856,856,830,146,400,95517,2245,8,27,28,1834,1789,253,3123,756,2267
1968,2245,785,850,900,945,1000,212,401,101165,2867,9,28,30,1732,1987,280,2867,890,2056
1969,2245,785,850,900,945,1000,212,401,95241,2867,9,28,30,1732,1987,280,2867,890,2056
1970,2467,1023,1245,910,1117,810,180,420,100253,2901,8,31,27,2167,2156,256,2389,923,2485
1971,2180,1254,900,993,1000,780,170,450,98765,2980,9,20,30,2256,1622,200,2280,900,2834
1972,2083,884,667,662,823,670,102,419,99856,2295,10,24,30,1632,1465,248,2483,834,2145
1973,2156,1089,678,856,856,830,146,400,88935,2245,8,27,28,1834,1789,253,3123,756,2267
1974,2245,785,850,900,945,1000,212,401,120157,2867,9,28,30,1732,1987,280,2867,890,2056
1975,2467,1023,1245,910,1117,810,180,420,98765,2901,8,31,27,2167,2156,256,2389,923,2485
1976,2245,785,850,900,945,1000,212,401,99856,2867,9,28,30,1732,1987,280,2867,890,2056
1977,2467,1023,1245,910,1117,810,180,420,88935,2901,8,31,27,2167,2156,256,2389,923,2485
1978,2180,1254,900,993,1000,780,170,450,120157,2980,9,20,30,2256,1622,200,2280,900,2834
1979,2083,884,667,662,823,670,102,419,134568,2295,10,24,30,1632,1465,248,2483,834,2145
1980,2156,1089,678,856,856,830,146,400,110046,2245,8,27,28,1834,1789,253,3123,756,2267
1981,2245,785,850,900,945,1000,212,401,89000,2867,9,28,30,1732,1987,280,2867,890,2056
1982,2245,785,850,900,945,1000,212,401,95000,2867,9,28,30,1732,1987,280,2867,890,2056
1983,2467,1023,1245,910,1117,810,180,420,95517,2901,8,31,27,2167,2156,256,2389,923,2485
1984,2180,1254,900,993,1000,780,170,450,101165,2980,9,20,30,2256,1622,200,2280,900,2834
1985,2083,884,667,662,823,670,102,419,95241,2295,10,24,30,1632,1465,248,2483,834,2145
1986,2156,1089,678,856,856,830,146,400,100253,2245,8,27,28,1834,1789,253,3123,756,2267
1987,2245,785,850,900,945,1000,212,401,98765,2867,9,28,30,1732,1987,280,2867,890,2056
1988,2467,1023,1245,910,1117,810,180,420,99856,2901,8,31,27,2167,2156,256,2389,923,2485
1989,2180,1254,900,993,1000,780,170,450,88935,2980,9,20,30,2256,1622,200,2280,900,2834
1990,2083,884,667,662,823,670,102,419,120157,2295,10,24,30,1632,1465,248,2483,834,2145
1991,2467,1023,1245,910,1117,810,180,420,98765,2901,8,31,27,2167,2156,256,2389,923,2485
1992,2083,884,667,662,823,670,102,419,99856,2295,10,24,30,1632,1465,248,2483,834,2145
1993,2156,1089,678,856,856,830,146,400,88935,2245,8,27,28,1834,1789,253,3123,756,2267
1994,2245,785,850,900,945,1000,212,401,120157,2867,9,28,30,1732,1987,280,2867,890,2056
1995,2467,1023,1245,910,1117,810,180,420,98765,2901,8,31,27,2167,2156,256,2389,923,2485
1996,2180,1254,900,993,1000,780,170,450,99856,2980,9,20,30,2256,1622,200,2280,900,2834
1997,2245,785,850,900,945,1000,212,401,88935,2867,9,28,30,1732,1987,280,2867,890,2056
1998,2467,1023,1245,910,1117,810,180,420,120157,2901,8,31,27,2167,2156,256,2389,923,2485
1999,2180,1254,900,993,1000,780,170,450,134568,2980,9,20,30,2256,1622,200,2280,900,2834
2000,2083,884,667,662,823,670,102,419,110046,2295,10,24,30,1632,1465,248,2483,834,2145
2001,2156,1089,678,856,856,830,146,400,1500459,2245,8,27,28,1834,1789,253,3123,756,2267
2002,2245,785,850,900,945,1000,212,401,78053,2867,9,28,30,1732,1987,280,2867,890,2056
2003,2245,785,850,900,945,1000,212,401,89045,2867,9,28,30,1732,1987,280,2867,890,2056
2004,2467,1023,1245,910,1117,810,180,420,89064,2901,8,31,27,2167,2156,256,2389,923,2485
2005,2245,785,850,900,945,1000,212,401,70678,2867,9,28,30,1732,1987,280,2867,890,2056
2006,2467,1023,1245,910,1117,810,180,420,78057,2901,8,31,27,2167,2156,256,2389,923,2485
2007,2180,1254,900,993,1000,780,170,450,67009,2980,9,20,30,2256,1622,200,2280,900,2834
2008,2083,884,667,662,823,670,102,419,78000,2295,10,24,30,1632,1465,248,2483,834,2145
2009,2156,1089,678,856,856,830,146,400,89000,2245,8,27,28,1834,1789,253,3123,756,2267
2010,2245,785,850,900,945,1000,212,401,95517,2867,9,28,30,1732,1987,280,2867,890,2056
2011,2245,785,850,900,945,1000,212,401,101165,2867,9,28,30,1732,1987,280,2867,890,2056
2012,2467,1023,1245,910,1117,810,180,420,95241,2901,8,31,27,2167,2156,256,2389,923,2485
2013,2180,1254,900,993,1000,780,170,450,100253,2980,9,20,30,2256,1622,200,2280,900,2834
2014,2083,884,667,662,823,670,102,419,98765,2295,10,24,30,1632,1465,248,2483,834,2145
2015,2156,1089,678,856,856,830,146,400,99856,2245,8,27,28,1834,1789,253,3123,756,2267
2016,2245,785,850,900,945,1000,212,401,88935,2867,9,28,30,1732,1987,280,2867,890,2056
2017,2467,1023,1245,910,1117,810,180,420,120157,2901,8,31,27,2167,2156,256,2389,923,2485
2018,2180,1254,900,993,1000,780,170,450,134568,2980,9,20,30,2256,1622,200,2280,900,2834
2019,2083,884,667,662,823,670,102,419,110046,2295,10,24,30,1632,1465,248,2483,834,2145
2020,2156,1089,678,856,856,830,146,400,99234,2245,8,27,28,1834,1789,253,3123,756,2267
