Year,Rice(kg/hectare),Ragi,Small Millets,Banana,Ginger,Tumeric,Maize,Potato,Wheat,Other Pulses,Barley
2004,1824,1157,904,33,36,52,1665,50,1051,852,993
2005,1825,1158,905,33,36,52,1666,50,1052,853,994
2006,1826,1159,906,33,36,52,1667,50,1053,854,995
2007,1827,1160,907,33,36,52,1668,50,1054,855,996
2008,1828,1161,908,33,36,52,1669,50,1055,856,997
2009,1829,1162,909,30,34,50,1670,48,1056,857,998
2010,1713,982,998,26,35,51,1671,49,1057,889,1120
2011,1714,983,999,33,36,52,1672,50,1058,901,1200
2012,1715,984,1000,34,37,53,1673,51,1059,902,1201
2013,1716,985,1001,35,38,54,1774,52,1160,903,1202
2014,1717,986,1002,36,39,55,1775,53,1161,904,1203
2015,1718,987,1003,37,40,56,1776,54,1162,905,1204
2016,1719,988,1004,38,41,57,1777,55,1163,906,1205
2017,1720,989,1005,39,42,58,1778,56,1164,907,1206
2018,1721,990,1006,40,43,59,1779,57,1165,908,1207
2019,1722,991,1007,41,44,60,1780,58,1166,909,1208
2020,1723,992,1008,42,45,61,1781,59,1167,910,1209
