Year,Rise (Depth of Water),Fall(Depth of Water),Rise(Fluctuation),Fall(Fluctuation),pH,EC(microsiemens/cm)
1957,0.09,70.45,1.56,10.6,7.9,890.34
1958,0.2,65.45,1.55,10.9,8.1,700.12
1959,0.3,70.6,1.08,9.9,8.5,620.34
1960,0.05,54.83,1.06,7.8,8.4,880.45
1961,0.13,60.12,1.8,9.8,7.5,870.56
1962,0.23,50.34,1.6,12.3,7.6,980.56
1963,0.5,49.45,1.45,11.4,7.7,990.5
1964,0.09,70.23,1.71,8.3,7.3,998.4
1965,0.2,78.34,1.34,11.4,7.4,790.45
1966,0.3,69.34,1.2,3.85,7.9,1809.8
1967,0.78,60.1,1.23,12.4,7.2,1704.45
1968,0.45,66.34,1.8,10.3,7.7,998.45
1969,0.56,70.6,1.6,7.5,7.6,3304.4
1970,0.13,54.83,1.45,8.8,7.5,2330.45
1971,0.23,60.12,1.71,8.9,7.4,1120.34
1972,0.5,50.34,1.34,7.5,7.9,1000.1
1973,0.34,49.45,1.08,7.8,8.4,990.12
1974,0.56,55.2,1.06,9.9,8.3,890.34
1975,0.79,54.4,1.8,8.7,8.4,700.12
1976,0.71,55.6,1.6,7.5,8.3,620.34
1977,0.09,67.6,1.45,8.8,7.9,880.45
1978,0.2,67.3,1.71,8.9,8.1,870.56
1979,0.3,78.4,1.34,10.6,8.5,980.56
1980,0.78,71.3,1.2,10.9,8.4,990.5
1981,0.45,70.45,1.23,9.9,7.5,998.4
1982,0.56,65.45,1.8,7.8,7.6,790.45
1983,0.13,70.6,1.6,9.8,7.7,1809.8
1984,0.23,54.83,1.45,12.3,8.4,1704.45
1985,0.5,49.45,1.71,11.4,8.3,998.45
1986,0.09,70.23,1.34,8.3,7.9,3304.4
1987,0.45,78.34,1.2,11.4,8.1,2330.45
1988,0.78,69.34,1.23,3.85,8.5,1120.34
1989,1.4,60.1,1.45,12.4,8.4,1000.1
1990,2.3,66.34,1.56,10.3,7.5,990.12
1991,0.34,70.6,1.55,7.5,7.6,890.34
1992,0.32,54.83,1.08,8.8,7.7,700.12
1993,0.34,50.34,1.06,8.9,7.3,620.34
1994,0.56,49.45,1.8,9.9,7.4,880.45
1995,0.79,70.23,1.6,7.8,7.9,870.56
1996,0.71,78.34,1.71,9.8,7.2,980.56
1997,0.23,69.34,1.34,12.3,7.7,990.5
1998,0.45,60.1,1.2,11.4,7.7,998.4
1999,0.1,66.34,1.23,8.3,7.6,1000.1
2000,0.45,70.6,1.45,11.4,7.5,990.12
2001,0.78,54.83,1.56,3.85,7.4,890.34
2002,1.4,60.12,1.55,5.5,7.9,700.12
2003,0.23,70.6,1.08,7.4,8.4,620.34
2004,0.5,54.83,1.06,8.5,8.3,880.45
2005,0.09,60.12,1.8,3.7,7.9,870.56
2006,0.2,50.34,1.6,2.56,8.1,980.56
2007,0.3,49.45,1.45,9.4,8.5,998.45
2008,0.78,70.23,1.71,10.8,8.4,3304.4
2009,0.45,78.34,1.34,11.2,7.5,2330.45
2010,0.56,69.34,1.2,9.7,7.6,1120.34
2011,0.13,60.1,1.23,8,7.7,1000.1
2012,0.23,66.34,1.45,8.3,8.4,990.12
2013,0.5,70.6,1.56,11.4,8.3,890.34
2014,0.09,54.83,1.55,3.85,7.9,700.12
2015,0.2,60.12,1.08,12.4,8.1,620.34
2016,0.3,50.34,1.06,10.3,8.5,845.23
2017,0.05,49.45,1.05,9.3,8.4,786.34
2018,0.12,65.34,1.04,9.9,8.8,1200.3
2019,0.3,62.3,1.03,8.7,8.1,1203.2
2020,0.7,64.3,1.02,9,8.2,1200.2
