Year,Rice(kg/hectare),Jowar,Ragi,Small Millets,Tur ,Gram,Groundnuts,Sessasum,Banana,Sugarcane,Maize,Potato,Wheat,Other Pulses,Mesta,Coconut,Barley
1960,1173,1237,249,182,434,597,1343,364,218,2338,1380,137,1190,466,311,51,541
1961,1173,1238,250,183,435,598,1344,365,219,2339,1381,138,1191,467,312,52,542
1962,1173,1239,251,184,436,599,1345,366,220,2340,1382,139,1192,468,313,53,543
1963,1173,1240,252,185,437,600,1346,367,221,2341,1383,140,1193,469,314,54,544
1964,1173,1241,253,186,438,601,1347,368,222,2342,1384,141,1194,470,315,55,545
1965,1173,1242,254,187,439,602,1348,369,223,2343,1385,142,1195,471,316,56,546
1966,1173,1243,255,188,440,603,1349,370,224,2344,1386,143,1196,472,317,57,547
1967,1173,1244,256,189,441,604,1350,371,225,2345,1369,126,1179,455,300,40,530
1968,1173,1245,257,190,442,605,1351,372,226,2346,1370,127,1180,456,301,41,531
1969,1173,1246,258,191,443,606,1352,373,227,2347,1371,128,1181,457,302,42,532
1970,1173,1247,259,192,444,607,1353,374,228,2348,1372,129,1182,458,303,43,533
1971,1173,1248,260,193,445,608,1354,375,229,2349,1373,130,1183,459,304,44,534
1972,1173,1249,261,194,446,609,1355,376,230,2350,1374,131,1184,460,305,45,535
1973,1173,1250,262,195,447,610,1356,377,231,2351,1375,132,1185,461,306,46,536
1974,1173,1251,263,196,448,611,1357,378,232,2352,1376,133,1186,462,307,47,537
1975,1173,1252,264,197,449,612,1358,379,233,2353,1377,134,1187,463,308,48,538
1976,1173,1253,265,198,450,613,1359,380,234,2354,1378,135,1188,464,309,49,539
1977,1173,789,266,199,490,814,1360,400,235,2367,1379,136,1189,465,310,50,540
1978,1173,756,267,200,500,915,1361,401,236,2368,1380,137,1190,466,311,51,541
1979,1173,674,268,201,510,994,1362,402,237,2369,1381,138,1191,467,312,52,542
1980,1173,1478,269,202,470,1045,1363,403,238,2370,1360,117,1170,446,291,31,521
1981,1173,1225,237,170,422,585,1331,352,206,2326,1361,118,1171,447,292,32,522
1982,1173,1226,238,171,423,586,1332,353,207,2327,1362,119,1172,448,293,33,523
1983,1173,1227,239,172,424,587,1333,354,208,2328,1363,120,1173,449,294,34,524
1984,1173,1228,240,173,425,588,1334,355,209,2329,1364,121,1174,450,295,35,525
1985,1173,1229,241,174,426,589,1335,356,210,2330,1365,122,1175,451,296,36,526
1986,1173,1230,242,175,427,590,1336,357,211,2331,1366,123,1176,452,297,37,527
1987,1173,1231,243,176,428,591,1337,358,212,2332,1367,124,1177,453,298,38,528
1988,1173,1232,244,177,429,592,1338,359,213,2333,1368,125,1178,454,299,39,529
1989,1173,1233,245,178,430,593,1339,360,214,2334,1369,126,1179,455,300,40,530
1990,1173,1234,246,179,431,594,1340,361,215,2335,1370,127,1180,456,301,41,531
1991,1173,1235,247,180,432,595,1341,362,216,2336,1371,128,1181,457,302,42,532
1992,1173,1236,248,181,433,596,1342,363,217,2337,1372,129,1182,458,303,43,533
1993,1173,1237,249,182,434,597,1343,364,218,2338,1373,130,1183,459,304,44,534
1994,1173,1238,250,183,435,598,1344,365,219,2339,1374,131,1184,460,305,45,535
1995,1173,1239,251,184,436,599,1345,366,220,2340,1375,132,1185,461,306,46,536
1996,1173,1240,252,185,437,600,1346,367,221,2341,1376,133,1186,462,307,47,537
1997,1173,1241,253,186,438,601,1347,368,222,2342,1377,134,1187,463,308,48,538
1998,1173,1242,254,187,439,602,1348,369,223,2343,1378,135,1188,464,309,49,539
1999,1173,1243,255,188,440,603,1349,370,224,2344,1379,136,1189,465,310,50,540
2000,1173,1244,256,189,441,604,1350,371,225,2345,1380,137,1190,466,311,51,541
2001,1173,1245,257,190,442,605,1351,372,226,2346,1381,138,1191,467,312,52,542
2002,1173,1246,258,191,443,606,1352,373,227,2347,1382,139,1192,468,313,53,543
2003,1173,1247,259,192,444,607,1353,374,228,2348,1383,140,1193,469,314,54,544
2004,1173,1248,260,193,445,608,1354,375,229,2349,1384,141,1194,470,315,55,545
2005,1173,1249,261,194,446,609,1355,376,230,2350,1385,142,1195,471,316,56,546
2006,1173,1250,262,195,447,610,1356,377,231,2351,1386,143,1196,472,317,57,547
2007,1173,1251,263,196,448,611,1357,378,232,2352,1387,144,1197,473,318,58,548
2008,1173,1252,264,197,449,612,1358,379,233,2353,1388,145,1198,474,319,59,549
2009,1173,1253,265,198,450,613,1359,380,234,2354,1389,146,1199,475,320,60,550
2010,1173,789,266,199,490,814,1360,400,235,2367,1678,147,1389,478,321,70,679
2011,1173,756,267,200,500,915,1361,401,236,2368,1897,148,1267,479,322,90,750
2012,1173,674,268,201,510,994,1362,402,237,2369,2045,149,1356,480,323,80,998
2013,1173,1478,269,202,470,1045,1363,403,238,2370,2256,147,1389,481,324,100,1423
2014,1173,1224,236,169,421,584,1330,351,205,2325,1386,143,1196,472,317,57,547
2015,1173,1225,237,170,422,585,1331,352,206,2326,1387,144,1197,473,318,58,548
2016,1173,1226,238,171,423,586,1332,353,207,2327,1388,145,1198,474,319,59,549
2017,1173,1227,239,172,424,587,1333,354,208,2328,1389,146,1199,475,320,60,550
2018,1173,1228,240,173,425,588,1334,355,209,2329,1678,147,1389,478,321,70,679
2019,1173,1229,241,174,426,589,1335,356,210,2330,1897,148,1267,479,322,90,750
2020,1173,1230,242,175,427,590,1336,357,211,2331,1898,149,1268,480,323,91,751
