Year,Rice(kg/hectare),Ragi,Small Millets,Tur,Gram,Groundnuts,Sessasum,Sugarcane,Chillies,Ginger,Tumeric,Maize,Potato,Wheat,Other Pulses,Barley
1971,2008,1242,1264,986,856,13,486,60775,22,65,13,1342,163,2125,690,1069
1972,2009,1243,1265,987,857,13,487,60776,23,66,14,1343,164,2126,691,1070
1973,2010,1244,1266,988,858,13,488,60777,24,67,15,1344,165,2127,692,1071
1974,2011,1245,1267,989,859,13,489,60778,25,68,8,1345,166,2128,693,1072
1975,2012,1246,1268,990,860,13,490,60779,26,69,9,1346,167,2129,694,1073
1976,2013,1247,1269,991,861,13,491,60780,27,70,10,1347,168,2130,695,1074
1977,2014,1248,1270,992,862,13,492,60781,28,71,8,1348,169,2131,696,1075
1978,2015,1249,1271,993,863,13,493,60782,29,72,9,1349,170,2132,697,1076
1979,2016,1250,1272,994,864,13,494,60783,30,73,10,1350,171,2133,698,1077
1980,2017,1251,1273,995,865,13,495,60784,31,74,11,1351,172,2134,699,1078
1981,2018,1252,1274,996,866,13,496,60785,32,75,12,1352,173,2135,700,1079
1982,2019,1253,1275,997,867,13,497,60786,33,76,13,1353,174,2136,701,1080
1983,2020,1254,1276,998,868,13,498,60787,34,77,14,1354,175,2137,702,1081
1984,2002,1236,1258,980,850,13,480,60769,16,59,1,1336,157,2119,684,1063
1985,2003,1237,1259,981,851,13,481,60770,17,60,2,1337,158,2120,685,1064
1986,2004,1238,1260,982,852,13,482,60771,18,61,3,1338,159,2121,686,1065
1987,2005,1239,1261,983,853,13,483,60772,19,62,4,1339,160,2122,687,1066
1988,2006,1240,1262,984,854,13,484,60773,20,63,5,1340,161,2123,688,1067
1989,2007,1241,1263,985,855,13,485,60774,21,64,6,1341,162,2124,689,1068
1990,2008,1242,1264,986,856,13,486,60775,22,65,7,1342,163,2125,690,1069
1991,2009,1243,1265,987,857,13,487,60776,23,66,8,1343,164,2126,691,1070
1992,2010,1244,1266,988,858,13,488,60777,24,67,4,1344,165,2127,692,1071
1993,2011,1245,1267,989,859,13,489,60778,25,68,5,1345,166,2128,693,1072
1994,2012,1246,1268,990,860,13,490,60779,26,69,6,1346,167,2129,694,1073
1995,2013,1247,1269,991,861,13,491,60780,27,70,7,1347,168,2130,695,1074
1996,2014,1248,1270,992,862,13,492,60781,28,71,8,1348,169,2131,696,1075
1997,2010,1244,1266,988,858,13,488,60777,24,67,9,1344,165,2127,692,1071
1998,2011,1245,1267,989,859,13,489,60778,25,68,10,1345,166,2128,693,1072
1999,2012,1246,1268,990,860,13,490,60779,26,69,11,1346,167,2129,694,1073
2000,2013,1247,1269,991,861,13,491,60780,27,70,12,1347,168,2130,695,1074
2001,2014,1248,1270,992,862,13,492,60781,28,71,13,1348,169,2131,696,1075
2002,2015,1249,1271,993,863,13,493,60782,29,72,14,1349,170,2132,697,1076
2003,2016,1250,1272,994,864,13,494,60783,30,73,15,1350,171,2133,698,1077
2004,2017,1251,1273,995,865,13,495,60784,31,74,11,1351,172,2134,699,1078
2005,2018,1252,1274,996,866,13,496,60785,32,75,12,1352,173,2135,700,1079
2006,2019,1253,1275,997,867,13,497,60786,33,76,13,1353,174,2136,701,1080
2007,2020,1254,1276,998,868,13,498,60787,34,77,14,1354,175,2137,702,1081
2008,2021,1255,1277,999,869,13,499,60788,35,78,15,1355,176,2138,703,1082
2009,2022,1256,1278,1000,870,13,500,60789,36,79,16,1356,177,2139,704,1083
2010,2034,1409,978,798,880,13,276,63786,35,80,30,1440,178,2250,812,1234
2011,2212,1378,1309,890,909,13,289,61567,37,83,80,1289,167,2200,848,1467
2012,2634,1578,990,1000,1000,13,390,63786,35,85,87,1378,170,2100,917,1556
2013,2124,1789,1200,800,912,13,400,65566,36,99,89,1500,171,2206,930,1280
2014,1998,1232,1254,976,846,13,476,60765,12,55,12,1332,153,2115,680,1059
2015,1999,1233,1255,977,847,13,477,60766,13,56,13,1333,154,2116,681,1060
2016,2000,1234,1256,978,848,13,478,60767,14,57,14,1334,155,2117,682,1061
2017,2001,1235,1257,979,849,13,479,60768,15,58,15,1335,156,2118,683,1062
2018,2002,1236,1258,980,850,13,480,60769,16,59,16,1336,157,2119,684,1063
2019,2022,1256,1278,1000,870,13,500,60789,36,79,30,1356,177,2139,704,1083
2020,2034,1409,978,798,880,13,276,63786,35,80,30,1440,178,2250,812,1234
