Year,Rice(kg/hectare),Ragi,Small Millets,Tur ,Gram,Groundnuts,Sessasum,Sugarcane,Maize,Potato,Wheat,Other Pulses,Barley,Jowar,Bajra,Jute ,Mesta,Tobacco,Banana ,Coconut
1942,1585,1019,791,1581,1808,1720,1008,44685,23,229,2252,1219,1289,1753,1168,2408,2228,2127,589,60
1943,1586,1020,792,1582,1809,1721,1009,44686,23,230,2253,1220,1290,1754,1169,2409,2229,2128,590,60
1944,1587,1021,793,1583,1810,1722,1010,44687,23,231,2254,1221,1291,1755,1170,2410,2230,2129,591,60
1945,1588,1022,794,1584,1811,1723,1011,44688,23,232,2255,1222,1292,1756,1171,2411,2231,2130,592,60
1946,1589,1023,795,1585,1812,1724,1012,44689,23,233,2256,1223,1293,1757,1172,2412,2232,2131,593,60
1947,1590,1024,796,1586,1813,1725,1013,44690,23,234,2257,1224,1294,1758,1173,2413,2233,2132,594,60
1948,1591,1025,797,1587,1814,1726,1014,44691,23,235,2258,1225,1295,1759,1174,2414,2234,2133,595,60
1949,1592,1026,798,1588,1815,1727,1015,44692,23,236,2259,1226,1296,1760,1175,2415,2235,2134,596,60
1950,1593,1027,799,1589,1816,1728,1016,44693,23,237,2260,1227,1297,1761,1176,2416,2236,2135,597,60
1951,1594,1028,800,1590,1817,1729,1017,44694,23,238,2261,1228,1298,1762,1177,2417,2237,2136,598,60
1952,1595,1029,801,1591,1818,1730,1018,44695,23,239,2262,1229,1299,1763,1178,2418,2238,2137,599,60
1953,1596,1030,802,1592,1819,1731,1019,44696,23,240,2263,1230,1300,1764,1179,2419,2239,2138,600,60
1954,1597,1031,803,1593,1820,1732,1020,44697,23,241,2264,1231,1301,1765,1180,2420,2240,2139,601,60
1955,1598,1032,804,1594,1821,1733,1021,44698,23,242,2265,1232,1302,1766,1181,2421,2241,2140,602,60
1956,1599,1033,805,1595,1822,1734,1022,44699,23,243,2266,1233,1303,1767,1182,2422,2242,2141,603,60
1957,1600,1034,806,1596,1823,1735,1023,44700,23,244,2267,1234,1304,1768,1183,2423,2243,2142,604,60
1958,1601,1035,807,1597,1824,1736,1024,44701,23,245,2268,1235,1305,1769,1184,2424,2244,2143,605,60
1959,1602,1036,808,1598,1825,1737,1025,44702,23,246,2269,1236,1306,1770,1185,2425,2245,2144,606,60
1960,1603,1037,809,1599,1826,1738,1026,44703,23,247,2270,1237,1307,1771,1186,2426,2246,2145,607,60
1961,1604,1038,810,1600,1827,1739,1027,44704,23,248,2271,1238,1308,1772,1187,2427,2247,2146,608,60
1962,1605,1039,811,1601,1828,1740,1028,44705,23,249,2272,1239,1309,1773,1188,2428,2248,2147,609,60
1963,1606,1040,812,1602,1829,1741,1029,44706,23,250,2273,1240,1310,1774,1189,2429,2249,2148,610,60
1964,1607,1041,813,1603,1830,1742,1030,44707,23,251,2274,1241,1311,1775,1190,2430,2250,2149,611,60
1965,1608,1042,814,1604,1831,1743,1031,44708,23,252,2275,1242,1312,1776,1191,2431,2251,2150,612,60
1966,1609,1043,815,1605,1832,1744,1032,44709,23,253,2276,1243,1313,1777,1192,2432,2252,2151,613,60
1967,1610,1044,816,1606,1833,1745,1033,44710,23,254,2277,1244,1314,1778,1193,2433,2253,2152,614,60
1968,1611,1045,817,1607,1834,1746,1034,44711,23,255,2278,1245,1315,1779,1194,2434,2254,2153,615,60
1969,1612,1046,818,1608,1835,1747,1035,44712,23,256,2279,1246,1316,1780,1195,2435,2255,2154,616,60
1970,1613,1047,819,1609,1836,1748,1036,44713,23,257,2280,1247,1317,1781,1196,2436,2256,2155,617,60
1971,1614,1048,820,1610,1837,1749,1037,44714,23,258,2281,1248,1318,1782,1197,2437,2257,2156,618,60
1972,1615,1049,821,1611,1838,1750,1038,44715,23,259,2282,1249,1319,1783,1198,2438,2258,2157,619,60
1973,1616,1050,822,1612,1839,1751,1039,44716,23,260,2283,1250,1320,1784,1199,2439,2259,2158,620,60
1974,1617,1051,823,1613,1840,1752,1040,44717,23,261,2284,1251,1321,1785,1200,2440,2260,2159,621,60
1975,1618,1052,824,1614,1841,1753,1041,44718,23,262,2285,1252,1322,1786,1201,2441,2261,2160,622,60
1976,1619,1053,825,1615,1842,1754,1042,44719,23,263,2286,1253,1323,1787,1202,2442,2262,2161,623,60
1977,1620,1054,826,1616,1843,1755,1043,44720,23,264,2287,1254,1324,1788,1203,2443,2263,2162,624,60
1978,1621,1055,827,1617,1844,1756,1044,44721,23,265,2288,1255,1325,1789,1204,2444,2264,2163,625,60
1979,1622,1056,828,1618,1845,1757,1045,44722,23,266,2289,1256,1326,1790,1205,2445,2265,2164,626,60
1980,1623,1057,829,1619,1846,1758,1046,44723,23,267,2290,1257,1327,1791,1206,2446,2266,2165,627,60
1981,1624,1058,830,1620,1847,1759,1047,44724,23,268,2291,1258,1328,1792,1207,2447,2267,2166,628,60
1982,1625,1059,831,1621,1848,1760,1048,44725,23,269,2292,1259,1329,1793,1208,2448,2268,2167,629,60
1983,1626,1060,832,1622,1849,1761,1049,44726,23,270,2293,1260,1330,1794,1209,2449,2269,2168,630,60
1984,1627,1061,833,1623,1850,1762,1050,44727,23,271,2294,1261,1331,1795,1210,2450,2270,2169,631,60
1985,1628,1062,834,1624,1851,1763,1051,44728,23,272,2295,1262,1332,1796,1211,2451,2271,2170,632,60
1986,1629,1063,835,1625,1852,1764,1052,44729,23,273,2296,1263,1333,1797,1212,2452,2272,2171,633,60
1987,1630,1064,836,1626,1853,1765,1053,44730,23,274,2297,1264,1334,1798,1213,2453,2273,2172,634,60
1988,1631,1065,837,1627,1854,1766,1054,44731,23,275,2298,1265,1335,1799,1214,2454,2274,2173,635,60
1989,1632,1066,838,1628,1855,1767,1055,44732,23,276,2299,1266,1336,1800,1215,2455,2275,2174,636,60
1990,1633,1067,839,1629,1856,1768,1056,44733,23,277,2300,1267,1337,1801,1216,2456,2276,2175,637,60
1991,1634,1068,840,1630,1857,1769,1057,44734,23,278,2301,1268,1338,1802,1217,2457,2277,2176,638,60
1992,1635,1069,841,1631,1858,1770,1058,44735,23,279,2302,1269,1339,1803,1218,2458,2278,2177,639,60
1993,1636,1070,842,1632,1859,1771,1059,44736,23,280,2303,1270,1340,1804,1219,2459,2279,2178,640,60
1994,1637,1071,843,1633,1860,1772,1060,44737,23,281,2304,1271,1341,1805,1220,2460,2280,2179,641,60
1995,1638,1072,844,1634,1861,1773,1061,44738,23,282,2305,1272,1342,1806,1221,2461,2281,2180,642,60
1996,1639,1073,845,1635,1862,1774,1062,44739,23,283,2306,1273,1343,1807,1222,2462,2282,2181,643,60
1997,1640,1074,846,1636,1863,1775,1063,44740,23,284,2307,1274,1344,1808,1223,2463,2283,2182,644,60
1998,1641,1075,847,1637,1864,1776,1064,44741,23,285,2308,1275,1345,1809,1224,2464,2284,2183,645,60
1999,1642,1076,848,1638,1865,1777,1065,44742,23,286,2309,1276,1346,1810,1225,2465,2285,2184,646,60
2000,1643,1077,849,1639,1866,1778,1066,44743,23,287,2310,1277,1347,1811,1226,2466,2286,2185,647,60
2001,1644,1078,850,1640,1867,1779,1067,44744,23,288,2311,1278,1348,1812,1227,2467,2287,2186,648,60
2002,1645,1079,851,1641,1868,1780,1068,44745,23,289,2312,1279,1349,1813,1228,2468,2288,2187,649,60
2003,1646,1080,852,1642,1869,1781,1069,44746,23,290,2313,1280,1350,1814,1229,2469,2289,2188,650,60
2004,1647,1081,853,1643,1870,1782,1070,44747,23,291,2314,1281,1351,1815,1230,2470,2290,2189,651,60
2005,1648,1082,854,1644,1871,1783,1071,44748,23,292,2315,1282,1352,1816,1231,2471,2291,2190,652,60
2006,1649,1083,855,1645,1872,1784,1072,44749,23,293,2316,1283,1353,1817,1232,2472,2292,2191,653,60
2007,1650,1084,856,1646,1873,1785,1073,44750,23,294,2317,1284,1354,1818,1233,2473,2293,2192,654,60
2008,1651,1085,857,1647,1874,1786,1074,44751,23,295,2318,1285,1355,1819,1234,2474,2294,2193,655,60
2009,1652,1086,858,1648,1875,1787,1075,44752,23,296,2319,1286,1356,1820,1235,2475,2295,2194,656,60
2010,1653,1087,859,1649,1876,1788,1076,44753,23,297,2320,1287,1357,1821,1236,2476,2296,2195,657,60
2011,1654,1088,860,1650,1877,1789,1077,44754,23,298,2321,1288,1358,1822,1237,2477,2297,2196,658,60
2012,1655,1089,861,1651,1878,1790,1078,44755,23,299,2322,1289,1359,1823,1238,2478,2298,2197,659,60
2013,1656,1090,862,1652,1879,1791,1079,44756,23,300,2323,1290,1360,1824,1239,2479,2299,2198,660,60
2014,1657,1091,863,1653,1880,1792,1080,44757,23,301,2324,1291,1361,1825,1240,2480,2300,2199,661,60
2015,1658,1092,864,1654,1881,1793,1081,44758,23,302,2325,1292,1362,1826,1241,2481,2301,2200,662,60
2016,1659,1093,865,1655,1882,1794,1082,44759,23,303,2326,1293,1363,1827,1242,2482,2302,2201,663,60
2017,1660,1094,866,1656,1883,1795,1083,44760,23,304,2327,1294,1364,1828,1243,2483,2303,2202,664,60
2018,1661,1095,867,1657,1884,1796,1084,44761,23,305,2328,1295,1365,1829,1244,2484,2304,2203,665,60
2019,1662,1096,868,1658,1885,1797,1085,44762,23,306,2329,1296,1366,1830,1245,2485,2305,2204,666,60
2020,1663,1097,869,1659,1886,1798,1086,44763,23,307,2330,1297,1367,1831,1246,2486,2306,2205,667,60
